lead_id,channel,dealer_id,dealer_name,customer_name,customer_phone,customer_city,assigned_kam_id,kam_name,stage,status,rag,book_type,car_model,price,created_at
b0000001-0000-0000-0000-000000000006,YRS,d0000001-0000-0000-0000-000000000007,Agarwal Motors,Geeta Devi,+919876100006,Faridabad,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,C2B,Renault Kwid,420000,2026-02-15
b0000001-0000-0000-0000-000000000011,DealerReferral,d0000001-0000-0000-0000-000000000008,RK Car World,Karan Bajaj,+919876100011,Ghaziabad,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,C2D,Citroen C3,890000,2026-02-15
new-01,DealerReferral,d0000001-0000-0000-0000-000000000001,Sharma Motors,Vikram Malhotra,+919900110011,Gurugram,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,C2B,Maruti Swift,750000,2026-02-15
new-02,DealerReferral,d0000001-0000-0000-0000-000000000002,Kapoor Cars,Meenakshi Iyer,+919900110012,Delhi,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,C2D,Hyundai i20,920000,2026-02-16
new-03,YardReferral,4098a8f0-8f0d-47d1-947a-d657f96cdba1,Bharat Auto World,Prakash Jha,+919900110013,Noida,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,GS,Honda Amaze,680000,2026-02-18
new-04,OSS,36b2031f-1d4d-474a-91fc-d10ce99d1859,National Motors,Anurag Sinha,+919900110014,Delhi,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,C2B,Kia Seltos,1150000,2026-02-20
new-05,DealerReferral,9f0411d9-7899-4a2f-aa6d-6a5c6497a7fb,Mehra Car Centre,Sunita Devi,+919900110015,Gurugram,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,negotiation,open,amber,C2D,Maruti Alto,480000,2026-02-22
new-06,YRS,0bf3332e-06a1-4486-b51b-4887f2f114dc,Metro Wheels Hub,Rahul Pandey,+919900110016,Gurugram,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,GS,Toyota Innova,1320000,2026-02-24
new-07,DCF,253feabb-d815-4f0d-af83-075861d3f9f1,Jai Shree Cars,Kavita Nair,+919900110017,Faridabad,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,C2B,Tata Nexon,560000,2026-02-25
new-08,DealerReferral,18b1df11-9ad0-4dad-a454-a6516cb80aa3,Shri Ganesh Wheels,Deepak Reddy,+919900110018,Gurugram,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,evaluation,open,amber,C2D,VW Virtus,890000,2026-02-26
new-09,Direct,1daea19e-5dd1-45ca-8333-ee5668212e23,United Car Emporium,Pooja Gupta,+919900110019,Noida,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,GS,Honda City,720000,2026-02-27
new-10,DealerReferral,db0cf2f1-0431-4dee-9da2-fdd01ac67720,Sunrise Motors NCR,Arjun Kapoor,+919900110020,Gurugram,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,created,open,green,C2B,MG Hector,1450000,2026-03-01
new-11,DealerReferral,d0000001-0000-0000-0000-000000000003,Delhi Auto Hub,Neha Kumari,+919900110021,Delhi,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,C2D,Hyundai Aura,510000,2026-03-01
new-12,YardReferral,d0000001-0000-0000-0000-000000000004,Patel Wheels,Vivek Chauhan,+919900110022,Noida,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,GS,Tata Harrier,850000,2026-03-02
new-13,DealerReferral,d0000001-0000-0000-0000-000000000001,Sharma Motors,Ravi Kumar,+919900110023,Gurugram,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,lost_reason,lost,red,C2B,Maruti Baleno,640000,2026-02-19
new-14,DealerReferral,4098a8f0-8f0d-47d1-947a-d657f96cdba1,Bharat Auto World,Aakash Mehta,+919900110024,Noida,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,evaluation,open,amber,C2D,Skoda Slavia,1100000,2026-03-01
new-15,OSS,0bf3332e-06a1-4486-b51b-4887f2f114dc,Metro Wheels Hub,Manish Tiwari,+919900110025,Gurugram,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,GS,Hyundai Venue,780000,2026-02-28
new-16,DealerReferral,d0000001-0000-0000-0000-000000000006,Singh Auto Palace,Sanjay Verma,+919900120001,Delhi,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,C2B,Maruti Swift,680000,2026-02-14
new-17,DealerReferral,d0000001-0000-0000-0000-000000000007,Agarwal Motors,Geeta Rani,+919900120002,Faridabad,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,C2D,Maruti WagonR,520000,2026-02-16
new-18,YardReferral,d0000001-0000-0000-0000-000000000008,RK Car World,Ashok Mittal,+919900120003,Ghaziabad,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,GS,Kia Sonet,950000,2026-02-17
new-19,OSS,02aa1944-49d7-4cf6-a13a-2c253c90f0fc,Royal Auto Gallery,Priyanka Das,+919900120004,Delhi,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,C2B,Hyundai Creta,1250000,2026-02-19
new-20,DealerReferral,8e1d777d-6650-42d6-80b9-e6dd017d52aa,Sai Motors,Nitin Saxena,+919900120005,Ghaziabad,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,negotiation,open,amber,C2D,Honda Amaze,780000,2026-02-21
new-21,DCF,6869e9aa-f6d4-4ade-900e-ae7a9cc4b23d,Omega Car Sales,Suman Gupta,+919900120006,Noida,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,GS,MG Astor,890000,2026-02-23
new-22,YRS,8460489b-2538-4bc2-8c88-632b171ec56d,First Choice Autos,Rajat Sharma,+919900120007,Delhi,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,C2B,Tata Safari,1100000,2026-02-24
new-23,DealerReferral,d112ce13-4e13-4cc3-87eb-330639121aca,Platinum Auto Zone,Aarti Singh,+919900120008,Delhi,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,evaluation,open,green,C2D,Tata Altroz,620000,2026-02-25
new-24,Direct,ddde0bf1-8177-43cb-a77a-0c3fd18b27cf,Krishna Auto Hub,Mohit Agarwal,+919900120009,Ghaziabad,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,GS,Renault Kwid,420000,2026-02-26
new-25,DealerReferral,78eb8d54-87d7-4493-a2fc-ec0529a82468,Tiwari Motor Works,Kiran Bhatia,+919900120010,Faridabad,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,C2B,Nissan Magnite,760000,2026-02-27
new-26,DealerReferral,d0000001-0000-0000-0000-000000000009,Verma Auto Sales,Ankit Joshi,+919900120011,Noida,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,created,open,green,C2D,Citroen C3,980000,2026-03-01
new-27,YardReferral,d0000001-0000-0000-0000-000000000010,Jain Car Bazaar,Simran Kaur,+919900120012,Delhi,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,GS,Hyundai Grand i10,580000,2026-03-02
new-28,OSS,02aa1944-49d7-4cf6-a13a-2c253c90f0fc,Royal Auto Gallery,Tarun Gupta,+919900120013,Delhi,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,lost_reason,lost,red,C2B,Jeep Compass,1350000,2026-02-20
new-29,DealerReferral,6869e9aa-f6d4-4ade-900e-ae7a9cc4b23d,Omega Car Sales,Divya Sharma,+919900120014,Noida,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,negotiation,open,amber,C2D,Skoda Kushaq,870000,2026-03-01
new-30,DCF,d0000001-0000-0000-0000-000000000006,Singh Auto Palace,Pawan Kumar,+919900120015,Delhi,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,GS,Toyota Glanza,710000,2026-02-28
